coluna,valor,contagem
acousticness,0.0153,15
acousticness,0.0155,15
acousticness,0.0165,15
acousticness,0.0183,15
acousticness,0.0186,15
acousticness,0.0192,15
acousticness,0.0203,15
acousticness,0.0268,15
acousticness,0.0314,15
acousticness,0.0367,15
acousticness,0.0392,15
acousticness,0.0404,15
acousticness,0.0629,15
acousticness,0.0658,15
acousticness,0.0896,15
acousticness,0.271,15
acousticness,0.282,15
acousticness,0.311,15
acousticness,0.318,15
acousticness,0.327,15
acousticness,0.343,15
acousticness,0.358,15
acousticness,0.369,15
acousticness,0.383,15
acousticness,0.388,15
acousticness,0.403,15
acousticness,0.417,15
acousticness,0.436,15
acousticness,0.523,15
acousticness,0.526,15
acousticness,0.546,15
acousticness,0.582,15
acousticness,0.608,15
acousticness,0.623,15
acousticness,0.624,15
acousticness,0.636,15
acousticness,0.649,15
acousticness,0.653,15
acousticness,0.662,15
acousticness,0.671,15
acousticness,0.673,15
acousticness,0.677,15
acousticness,0.682,15
acousticness,0.685,15
acousticness,0.705,15
acousticness,0.718,15
acousticness,0.728,15
acousticness,0.736,15
acousticness,0.743,15
acousticness,0.752,15
acousticness,0.753,15
acousticness,0.756,15
acousticness,0.757,15
acousticness,0.781,15
acousticness,0.786,15
acousticness,0.793,15
acousticness,0.795,15
acousticness,0.8,15
acousticness,0.808,15
acousticness,0.811,15
acousticness,0.837,15
acousticness,0.848,15
acousticness,0.853,15
acousticness,0.871,15
acousticness,0.884,15
acousticness,0.895,15
acousticness,0.904,15
acousticness,0.929,15
acousticness,0.943,15
acousticness,0.97,15
acousticness,0.0,14
acousticness,0.00108,14
acousticness,0.00126,14
acousticness,0.00177,14
acousticness,0.00314,14
acousticness,0.00633,14
acousticness,0.0113,14
acousticness,0.0114,14
acousticness,0.0118,14
acousticness,0.012,14
acousticness,0.0133,14
acousticness,0.0142,14
acousticness,0.0144,14
acousticness,0.0149,14
acousticness,0.0151,14
acousticness,0.0184,14
acousticness,0.0197,14
acousticness,0.0205,14
acousticness,0.0221,14
acousticness,0.0245,14
acousticness,0.0253,14
acousticness,0.0258,14
acousticness,0.0289,14
acousticness,0.0292,14
acousticness,0.0309,14
acousticness,0.0318,14
acousticness,0.0335,14
acousticness,0.0355,14
acousticness,0.0375,14
acousticness,0.0512,14
acousticness,0.0513,14
acousticness,0.0561,14
acousticness,0.063,14
acousticness,0.0958,14
acousticness,0.17,14
acousticness,0.278,14
acousticness,0.287,14
acousticness,0.322,14
acousticness,0.334,14
acousticness,0.344,14
acousticness,0.361,14
acousticness,0.365,14
acousticness,0.367,14
acousticness,0.381,14
acousticness,0.408,14
acousticness,0.41,14
acousticness,0.411,14
acousticness,0.412,14
acousticness,0.419,14
acousticness,0.42,14
acousticness,0.425,14
acousticness,0.429,14
acousticness,0.439,14
acousticness,0.443,14
acousticness,0.455,14
acousticness,0.461,14
acousticness,0.463,14
acousticness,0.466,14
acousticness,0.468,14
acousticness,0.478,14
acousticness,0.49,14
acousticness,0.495,14
acousticness,0.504,14
acousticness,0.511,14
acousticness,0.514,14
acousticness,0.515,14
acousticness,0.518,14
acousticness,0.53,14
acousticness,0.535,14
acousticness,0.547,14
acousticness,0.554,14
acousticness,0.566,14
acousticness,0.568,14
acousticness,0.575,14
acousticness,0.599,14
acousticness,0.6,14
acousticness,0.614,14
acousticness,0.622,14
acousticness,0.629,14
acousticness,0.651,14
acousticness,0.657,14
acousticness,0.669,14
acousticness,0.688,14
acousticness,0.696,14
acousticness,0.745,14
acousticness,0.75,14
acousticness,0.758,14
acousticness,0.763,14
acousticness,0.769,14
acousticness,0.771,14
acousticness,0.773,14
acousticness,0.783,14
acousticness,0.79,14
acousticness,0.802,14
acousticness,0.824,14
acousticness,0.875,14
acousticness,0.893,14
acousticness,0.9,14
acousticness,0.903,14
acousticness,0.919,14
acousticness,0.922,14
acousticness,0.942,14
acousticness,0.00101,13
acousticness,0.00102,13
acousticness,0.00132,13
acousticness,0.00139,13
acousticness,0.00141,13
acousticness,0.00145,13
acousticness,0.00151,13
acousticness,0.00152,13
acousticness,0.00178,13
acousticness,0.00208,13
acousticness,0.00223,13
acousticness,0.00281,13
acousticness,0.0147,13
acousticness,0.0154,13
acousticness,0.0163,13
acousticness,0.0168,13
acousticness,0.0198,13
acousticness,0.0204,13
acousticness,0.0214,13
acousticness,0.0224,13
acousticness,0.0225,13
acousticness,0.0229,13
acousticness,0.0232,13
acousticness,0.0238,13
acousticness,0.0241,13
acousticness,0.0248,13
acousticness,0.0262,13
acousticness,0.0273,13
acousticness,0.0284,13
