coluna,valor,contagem
acousticness,0.487,71
acousticness,0.56,71
acousticness,0.575,71
acousticness,0.597,71
acousticness,0.652,71
acousticness,0.685,71
acousticness,0.708,71
acousticness,0.749,71
acousticness,0.756,71
acousticness,0.779,71
acousticness,0.821,71
acousticness,0.827,71
acousticness,0.834,71
acousticness,0.928,71
acousticness,0.951,71
acousticness,0.011,70
acousticness,0.0115,70
acousticness,0.0134,70
acousticness,0.018,70
acousticness,0.362,70
acousticness,0.363,70
acousticness,0.37,70
acousticness,0.404,70
acousticness,0.432,70
acousticness,0.574,70
acousticness,0.604,70
acousticness,0.646,70
acousticness,0.659,70
acousticness,0.669,70
acousticness,0.701,70
acousticness,0.719,70
acousticness,0.744,70
acousticness,0.772,70
acousticness,0.798,70
acousticness,0.806,70
acousticness,0.842,70
acousticness,0.843,70
acousticness,0.863,70
acousticness,0.868,70
acousticness,0.91,70
acousticness,0.935,70
acousticness,0.0111,69
acousticness,0.0164,69
acousticness,0.0171,69
acousticness,0.369,69
acousticness,0.443,69
acousticness,0.457,69
acousticness,0.501,69
acousticness,0.502,69
acousticness,0.507,69
acousticness,0.544,69
acousticness,0.576,69
acousticness,0.595,69
acousticness,0.648,69
acousticness,0.662,69
acousticness,0.665,69
acousticness,0.68,69
acousticness,0.737,69
acousticness,0.752,69
acousticness,0.784,69
acousticness,0.789,69
acousticness,0.804,69
acousticness,0.819,69
acousticness,0.83,69
acousticness,0.849,69
acousticness,0.875,69
acousticness,0.934,69
acousticness,0.959,69
acousticness,0.0148,68
acousticness,0.0179,68
acousticness,0.324,68
acousticness,0.425,68
acousticness,0.43,68
acousticness,0.497,68
acousticness,0.516,68
acousticness,0.545,68
acousticness,0.559,68
acousticness,0.564,68
acousticness,0.603,68
acousticness,0.608,68
acousticness,0.618,68
acousticness,0.695,68
acousticness,0.7,68
acousticness,0.735,68
acousticness,0.754,68
acousticness,0.813,68
acousticness,0.851,68
acousticness,0.897,68
acousticness,0.0471,67
acousticness,0.249,67
acousticness,0.364,67
acousticness,0.375,67
acousticness,0.398,67
acousticness,0.437,67
acousticness,0.459,67
acousticness,0.492,67
acousticness,0.495,67
acousticness,0.562,67
acousticness,0.589,67
acousticness,0.59,67
acousticness,0.592,67
acousticness,0.617,67
acousticness,0.661,67
acousticness,0.702,67
acousticness,0.723,67
acousticness,0.738,67
acousticness,0.767,67
acousticness,0.78,67
acousticness,0.846,67
acousticness,0.857,67
acousticness,0.86,67
acousticness,0.882,67
acousticness,0.883,67
acousticness,0.924,67
acousticness,0.0114,66
acousticness,0.0123,66
acousticness,0.0146,66
acousticness,0.037,66
acousticness,0.322,66
acousticness,0.339,66
acousticness,0.35,66
acousticness,0.379,66
acousticness,0.401,66
acousticness,0.41,66
acousticness,0.48,66
acousticness,0.494,66
acousticness,0.601,66
acousticness,0.61,66
acousticness,0.69,66
acousticness,0.693,66
acousticness,0.697,66
acousticness,0.706,66
acousticness,0.71,66
acousticness,0.736,66
acousticness,0.786,66
acousticness,0.861,66
acousticness,0.943,66
acousticness,0.0118,65
acousticness,0.0137,65
acousticness,0.0166,65
acousticness,0.0191,65
acousticness,0.0205,65
acousticness,0.236,65
acousticness,0.286,65
acousticness,0.319,65
acousticness,0.336,65
acousticness,0.411,65
acousticness,0.461,65
acousticness,0.478,65
acousticness,0.528,65
acousticness,0.553,65
acousticness,0.557,65
acousticness,0.586,65
acousticness,0.663,65
acousticness,0.732,65
acousticness,0.748,65
acousticness,0.76,65
acousticness,0.896,65
acousticness,0.0125,64
acousticness,0.0128,64
acousticness,0.015,64
acousticness,0.0168,64
acousticness,0.025,64
acousticness,0.0265,64
acousticness,0.031,64
acousticness,0.0392,64
acousticness,0.308,64
acousticness,0.333,64
acousticness,0.348,64
acousticness,0.376,64
acousticness,0.427,64
acousticness,0.466,64
acousticness,0.47,64
acousticness,0.552,64
acousticness,0.593,64
acousticness,0.626,64
acousticness,0.672,64
acousticness,0.688,64
acousticness,0.696,64
acousticness,0.773,64
acousticness,0.809,64
acousticness,0.833,64
acousticness,0.85,64
acousticness,0.862,64
acousticness,0.869,64
acousticness,0.947,64
acousticness,0.0105,63
acousticness,0.0106,63
acousticness,0.0149,63
acousticness,0.0159,63
acousticness,0.0209,63
acousticness,0.349,63
acousticness,0.388,63
acousticness,0.415,63
acousticness,0.428,63
acousticness,0.431,63
acousticness,0.441,63
acousticness,0.448,63
acousticness,0.45,63
acousticness,0.473,63
acousticness,0.49,63
acousticness,0.491,63
acousticness,0.499,63
acousticness,0.543,63
acousticness,0.566,63
